codigo,nombre,codmunicipio
ABC,Aeropuerto de Albacete,2003
BIO,Aeropuerto de Bilbao,48020
BCN,Aeropuerto de Barcelona-El Prat,8019
GRX,Aeropuerto de Granada,18087
